,System,Site
246,Catchment,8
247,Catchment,9
248,Catchment,10
249,Catchment,11
250,Catchment,12
251,Catchment,13
252,Catchment,14
253,Catchment,15
254,Catchment,16
244,Catchment,6
255,Catchment,17
257,Catchment,19
258,Catchment,20
259,Catchment,21
243,Catchment,5
242,Catchment,4
241,Catchment,3
240,Catchment,2
239,Catchment,1
256,Catchment,18
245,Catchment,7
272,Estuary,Cheesapeake bay
266,Estuary,Gironde
179,Lake,Mälaren- Basin E
180,Lake,Glass Lake
210,Lake,Blue Chalk
211,Lake,Chub
212,Lake,Crosson
213,Lake,Dickie
178,Lake,Mälaren- Basin C
214,Lake,Harp
216,Lake,Red Chalk
221,Lake,Green Lake 4
271,Lake,San Diego Bay_Sep
270,Lake,San Diego Bay_May
269,Lake,San Diego Bay_Jan
268,Lake,San Diego Bay_Aug
215,Lake,Plastic
0,Lake,Mirror lake (epilimnion)
177,Lake,Mälaren
155,Lake,Sparkling Lake
119,Lake,Small lakes simulation
118,Lake,Large lakes simulation
91,Lake,382_ELA
90,Lake,305_ELA
89,Lake,304_ELA
88,Lake,303_ELA
86,Lake,227_ELA
85,Lake,226_ELA
84,Lake,225_ELA
83,Lake,224_ELA
82,Lake,222_ELA
81,Lake,221_ELA
80,Lake,114_ELA
64,Lake,239_ELA
2,Lake,Friskjön
156,Lake,Trout Lake
127,Lake,Örsträsket
273,Lake,Superior
139,Lake,La Grande_50M3
154,Lake,Trout Bog Lake
153,Lake,Crystal Bog Lake
152,Lake,Cristal Lake
134,Lake,La Grande_100M1
135,Lake,La Grande_100M2
136,Lake,La Grande_100M3
137,Lake,La Grande_50M1
138,Lake,La Grande_50M2
151,Lake,Big Muskellunge
150,Lake,Allequash Lake
1,Reservoir,Skinnmuddselet
129,Reservoir,La Grande_100M2
133,Reservoir,La Grande_50M3
132,Reservoir,La Grande_50M2
131,Reservoir,La Grande_50M1
130,Reservoir,La Grande_100M3
128,Reservoir,La Grande_100M1
260,River,Roaring brook
37,River,Hudson261-44 km
126,River,Kryckland
