Site,Type,Lat,Lon,tau,mo_mi,Ref,Source,Country
1,catchment,68.34516,21.366472,1.4,0.6299999940758321,Algesten et al. 2003,C2016,Sweden
2,catchment,67.343565,21.824873,0.5,0.6800000090521496,Algesten et al. 2003,C2016,Sweden
3,catchment,65.904611,22.465105,0.5,0.6899999561096755,Algesten et al. 2003,C2016,Sweden
4,catchment,66.984499,20.905047,0.5,0.5599999637416487,Algesten et al. 2003,C2016,Sweden
5,catchment,67.51134,17.477312,2.6,0.5300000633010676,Algesten et al. 2003,C2016,Sweden
6,catchment,65.63408,21.1028,1.0,0.6500000397100965,Algesten et al. 2003,C2016,Sweden
7,catchment,66.340413,18.960466,2.4,0.5100000740845259,Algesten et al. 2003,C2016,Sweden
8,catchment,66.065572,17.510271,5.6,0.3899996333449659,Algesten et al. 2003,C2016,Sweden
9,catchment,64.428536,20.14699,2.1,0.429999963576649,Algesten et al. 2003,C2016,Sweden
10,catchment,65.679366,16.455584,2.0,0.4899998666599759,Algesten et al. 2003,C2016,Sweden
11,catchment,64.113766,18.718767,0.4,0.6799999842321497,Algesten et al. 2003,C2016,Sweden
12,catchment,63.88258,18.103533,0.6,0.5299999472310665,Algesten et al. 2003,C2016,Sweden
13,catchment,64.494845,16.697283,1.3,0.4999999765299732,Algesten et al. 2003,C2016,Sweden
14,catchment,64.982423,15.137224,2.4,0.4800001493185194,Algesten et al. 2003,C2016,Sweden
15,catchment,63.998412,13.225603,3.2,0.4400001584307538,Algesten et al. 2003,C2016,Sweden
16,catchment,62.20989,15.071306,3.8,0.38000013043947056,Algesten et al. 2003,C2016,Sweden
17,catchment,61.682887,16.213885,8.4,0.23000026083370448,Algesten et al. 2003,C2016,Sweden
18,catchment,61.703725,13.86281,2.1,0.4400000138907255,Algesten et al. 2003,C2016,Sweden
19,catchment,60.644428,16.521502,2.5,0.30000006879778873,Algesten et al. 2003,C2016,Sweden
20,catchment,60.601313,14.10451,3.1,0.37999996399944985,Algesten et al. 2003,C2016,Sweden
21,catchment,59.044282,13.159685,13.5,0.2899993216912623,Algesten et al. 2003,C2016,Sweden
Cheesapeake bay,estuary,37.625109,-76.154881,0.97260274,0.5000000476823486,"Stephens and Minor, 2010",C2016,USA
Gironde,estuary,45.399414,-0.799456,1.5,0.7126847090873492,Huguet et al. 2009,C2016,France
Hudson261-44 km,river,41.8,-73.953295,0.148356164,0.9120812106452647,DelGiorgio and Pace 2008,C2016,USA
Kryckland,river,64.168107,19.731245,0.005479452,0.9976000006388024,Tiwari et al. 2014,C2016,Sweden
Roaring brook,river,42.489378,-72.524835,0.03191672933333333,0.6404999919801331,McDowell et al. 1976,C2016,USA
Rophemel,reservoir,48.31666666666667,2.05,0.05,0.998,"E2017 (S27, S28)",E2017,France
Ekojarvi,lake,61.2,24.8,0.07,0.902,E2017 (34),E2017,Finland
Lundetjenn,lake,58.35,8.433333333333334,0.1,0.994,"E2017 (S5, S6)",E2017,Norway
Røynelandsvatn,lake,58.36666666666667,8.333333333333334,0.1,0.861,"E2017 (S7, S6)",E2017,Norway
Black Esk,reservoir,55.25,-3.25,0.12,0.789,E2017 (S10),E2017,UK
Gäddtjärn,lake,60.43333333333333,15.3,0.13,0.781,E2017 (S8),E2017,Sweden
Alinen Rautjarvi,lake,61.18333333333333,25.083333333333332,0.13,0.825,E2017 (34),E2017,Finland
Burr Oak,reservoir,39.516666666666666,-83.0,0.18,0.6859999999999999,E2017 (S36),E2017,USA
Taylorsville,reservoir,38.0,-85.3,0.23,0.961,E2017 (S29),E2017,USA
Cone Pond,lake,43.9,-71.6,0.25,0.45299999999999996,E2017 (S13),E2017,USA
Kinder,reservoir,53.38333333333333,-1.9166666666666665,0.28,0.776,E2017 (S9),E2017,UK
Sandvatn,lake,58.21666666666667,6.983333333333333,0.32,0.65,"E2017 (S5, S6)",E2017,Norway
Glenlatterach,reservoir,57.55,-3.35,0.34,0.964,E2017 (S10),E2017,UK
Skervatjern,lake,61.43333333333333,6.033333333333333,0.38,0.546,"E2017 (S3, S4)",E2017,Norway
Savalbeg,lake,58.06666666666667,-4.366666666666666,0.39,0.506,E2017 (S10),E2017,UK
Shingobee,lake,47.0,-94.68333333333334,0.4,0.9410000000000001,E2017 (36),E2017,USA
Plešné,lake,48.78333333333333,13.866666666666667,0.7,0.5660000000000001,E2017 (S2),E2017,Czech Republic
Buffalo Pound,lake,50.56666666666667,-105.33333333333333,0.7,0.563,E2017 (S17),E2017,Canada
Friskjön,lake,57.43333333333333,16.616666666666667,0.72,0.531,E2017 (33),E2017,Sweden
Lake 225,lake,49.68333333333333,-93.71666666666667,0.9,0.79,E2017 (37),E2017,Canada
Stora Hästevatten N,lake,58.05,12.033333333333333,0.92,0.33699999999999997,E2017 (38),E2017,Sweden
Bret,lake,46.5,6.766666666666667,1.0,0.62,E2017 (S19),E2017,Switzerland
Lilla Hästevatten,lake,58.05,12.016666666666667,1.1,0.47,E2017 (38),E2017,Sweden
Stora Hästevatten S,lake,58.05,12.016666666666667,1.22,0.544,E2017 (38),E2017,Sweden
Diefenbaker,reservoir,50.983333333333334,-106.43333333333334,1.3,0.5529999999999999,E2017 (S17),E2017,Canada
Lake 221,lake,49.7,-93.71666666666667,1.4,0.769,E2017 (37),E2017,Canada
Conwy,lake,52.983333333333334,-3.8166666666666664,1.53,0.511,"E2017 (S11, S12)",E2017,UK
Alturas,lake,43.916666666666664,-114.83333333333333,1.59,0.993,E2017 (S20),E2017,USA
Čertovo,lake,49.18333333333333,13.2,1.6,0.633,E2017 (S2),E2017,Czech Republic
Crosson,lake,45.083333333333336,-79.03333333333333,1.64,0.625,E2017 (S1),E2017,Canada
Gårdsjön,lake,58.05,12.0,1.66,0.273,E2017 (38),E2017,Sweden
Lake 303,lake,49.65,-93.73333333333333,1.7,0.6639999999999999,E2017 (37),E2017,Canada
Gaffeln,lake,58.05,12.033333333333333,1.72,0.5660000000000001,E2017 (38),E2017,Sweden
Dickie,lake,45.13333333333333,-79.08333333333333,1.88,0.45499999999999996,E2017 (S1),E2017,Canada
Lake 222,lake,49.68333333333333,-93.71666666666667,1.9,0.62,E2017 (37),E2017,Canada
Chub,lake,45.2,-78.96666666666667,2.1,0.5880000000000001,E2017 (S1),E2017,Canada
Lake 114,lake,49.666666666666664,-93.75,2.1,0.534,E2017 (37),E2017,Canada
Ørsdalsvatnet,lake,58.6,6.166666666666667,2.49,0.5720000000000001,E2017 (S6),E2017,Norway
Paijanne,lake,61.2,25.716666666666665,2.5,0.778,E2017 (S15),E2017,Finland
Kuohijarvi,lake,61.28333333333333,24.95,2.55,0.591,E2017 (34),E2017,Finland
Red Chalk,lake,45.2,-78.9,2.61,0.63,E2017 (S1),E2017,Canada
Mälaren,lake,59.3,17.933333333333334,2.64,0.736,"E2017 (21, S18)",E2017,Sweden
Lake 304,lake,49.65,-93.73333333333333,2.7,0.677,E2017 (37),E2017,Canada
Harp,lake,45.36666666666667,-79.13333333333334,3.2,0.585,E2017 (S1),E2017,Canada
Lake 227,lake,49.68333333333333,-93.68333333333334,3.9,0.687,E2017 (37),E2017,Canada
Plastic,lake,45.166666666666664,-78.81666666666666,3.95,0.30500000000000005,E2017 (S1),E2017,Canada
Biwa,lake,35.016666666666666,135.88333333333333,5.5,0.961,"E2017 (S23, S24)",E2017,Japan
Blue Chalk,lake,45.2,-78.93333333333334,5.67,0.41000000000000003,E2017 (S1),E2017,Canada
Lake 226,lake,49.68333333333333,-93.73333333333333,5.9,0.493,E2017 (37),E2017,Canada
Lake 382,lake,49.7,-93.66666666666667,6.2,0.548,E2017 (37),E2017,Canada
Lake 239,lake,49.65,-93.71666666666667,9.2,0.46099999999999997,E2017 (37),E2017,Canada
Lake 224,lake,49.68333333333333,-93.71666666666667,17.4,0.29100000000000004,E2017 (37),E2017,Canada
Lake 305,lake,49.68333333333333,-93.68333333333334,19.3,0.39,E2017 (37),E2017,Canada
Superior,lake,46.45,-84.53333333333333,170.0,0.15500000000000003,E2017 (S14),E2017,USA/Canada
Malawi,lake,-14.4,35.233333333333334,692.0,0.09599999999999997,E2017 (S16),E2017,Malawi
"Fluvià River, NE Spain",river,42.1892,2.7673,0.0006849315068493151,1.0,Casas-Ruiz et al. (2017),This study,Spain
"Wood Brook, England",river,52.800938,-2.305389,0.00024926193972602743,0.982608696,Khamis et al. (2021),This study,UK
"Creeping Swamp, North Carolina",river,35.415,-77.193,0.02536783358630137,0.36,Mulholland (1981),This study,USA
"Fort River, Massachusetts",river,42.336,-72.574,0.00036254995342465757,0.96,Fisher (1977),This study,USA
