Name,Latitude,Longitude,Country,Type,Nutrient Status,Catchment_area_ha,Waterbody area_ha,Volume_m3,Discharge_m_per_yr,WRT_yr,DOCin,DOCout,DOCout/DOCin,R_DOC,T½,References,Notes,Type,
Blue Chalk,45° 12ʹ N,78° 56ʹ W,Canada,Lake,Oligotrophic," 106 "," 52.4 "," 4 450 000 ",0.50,5.67,2.16,0.887,0.410,0.590,4.40,S1,A,DOC sink,
Chub,45° 12ʹ N,78° 58ʹ W,Canada,Lake,Oligotrophic," 272 "," 34.4 "," 3 062 000 ",0.48,2.10,3.98,2.337,0.588,0.412,2.74,S1,A,DOC sink,
Crosson,45° 05ʹ N,79° 02ʹ W,Canada,Lake,Oligotrophic," 522 "," 56.7 "," 5 220 000 ",0.55,1.64,3.89,2.432,0.625,0.375,2.42,S1,A,DOC sink,
Dickie,45° 08ʹ N,79° 05ʹ W,Canada,Lake,Oligotrophic," 406 "," 93.6 "," 4 680 000 ",0.50,1.88,5.84,2.658,0.455,0.545,1.66,S1,A,DOC sink,
Harp,45° 22ʹ N,79° 08ʹ W,Canada,Lake,Oligotrophic," 406 "," 71.4 "," 9 494 000 ",0.62,3.20,4.32,2.525,0.585,0.415,4.13,S1,A,DOC sink,
Plastic,45° 10ʹ N,78° 49ʹ W,Canada,Lake,Oligotrophic," 96 "," 32.1 "," 2 539 000 ",0.50,3.95,3.80,1.158,0.305,0.695,2.30,S1,A,DOC sink,
Red Chalk,45° 12ʹ N,78° 54ʹ W,Canada,Lake,Oligotrophic," 532 "," 57.1 "," 8 112 000 ",0.53,2.61,2.28,1.434,0.630,0.370,3.91,S1,A,DOC sink,
Lake 114,49° 40ʹ N,93° 45ʹ W,Canada,Lake,Oligotrophic," 57 "," 12.1 "," 207 000 ",0.14,2.10,2.25,1.201,0.534,0.466,2.32,37,B,DOC sink,
Lake 221,49° 42ʹ N,93° 43ʹ W,Canada,Lake,Oligotrophic," 82 "," 9.0 "," 188 000 ",0.15,1.40,2.63,2.022,0.769,0.231,3.70,37,B,DOC sink,
Lake 222,49° 41ʹ N,93° 43ʹ W,Canada,Lake,Oligotrophic," 204 "," 16.4 "," 600 000 ",0.14,1.90,2.63,1.631,0.620,0.380,2.75,37,B,DOC sink,
Lake 224,49° 41ʹ N,93° 43ʹ W,Canada,Lake,Oligotrophic," 98 "," 25.9 "," 3 003 000 ",0.14,17.40,2.05,0.599,0.291,0.709,9.78,37,B,DOC sink,
Lake 225,49° 41ʹ N,93° 43ʹ W,Canada,Lake,Oligotrophic," 31 "," 4.0 "," 47 000 ",0.15,0.90,2.63,2.077,0.790,0.210,2.64,37,B,DOC sink,
Lake 226,49° 41ʹ N,93° 44ʹ W,Canada,Lake,Oligotrophic," 97 "," 16.1 "," 961 000 ",0.14,5.90,2.40,1.183,0.493,0.507,5.79,37,B,DOC sink,
Lake 227,49° 41ʹ N,93° 41ʹ W,Canada,Lake,Oligotrophic," 34 "," 5.0 "," 221 000 ",0.14,3.90,2.46,1.690,0.687,0.313,7.21,37,B,DOC sink,
Lake 239,49° 39ʹ N,93° 43ʹ W,Canada,Lake,Oligotrophic," 391 "," 56.1 "," 5 910 000 ",0.14,9.20,2.46,1.135,0.461,0.539,8.23,37,B,DOC sink,
Lake 303,49° 39ʹ N,93° 44ʹ W,Canada,Lake,Oligotrophic," 54 "," 9.5 "," 150 000 ",0.14,1.70,2.29,1.518,0.664,0.336,2.87,37,B,DOC sink,
Lake 304,49° 39ʹ N,93° 44ʹ W,Canada,Lake,Oligotrophic," 26 "," 3.4 "," 115 000 ",0.14,2.70,2.49,1.685,0.677,0.323,4.79,37,B,DOC sink,
Lake 305,49° 41ʹ N,93° 41ʹ W,Canada,Lake,Oligotrophic," 237 "," 52.0 "," 7 860 000 ",0.14,19.30,2.20,0.859,0.390,0.610,14.21,37,B,DOC sink,
Lake 382,49° 42ʹ N,93° 40ʹ W,Canada,Lake,Oligotrophic," 205 "," 37.1 "," 2 128 000 ",0.14,6.20,2.33,1.274,0.548,0.452,7.14,37,B,DOC sink,
Čertovo,49° 11ʹ N,13° 12ʹ E,Czech Republic,Lake,Oligotrophic," 88 "," 10.5 "," 1 852 000 ",1.18,1.60,6.32,4.005,0.633,0.367,2.43,S2,,DOC sink,
Alinen Rautjarvi,61° 11ʹ N,25° 05ʹ E,Finland,Lake,Oligotrophic," 6 600 "," 50.0 "," 2 100 000 ",0.24,0.13,2.90,2.394,0.825,0.175,0.48,34,,DOC sink,
Ekojarvi,61° 12ʹ N,24° 48ʹ E,Finland,Lake,Oligotrophic," 11 400 "," 74.0 "," 1 800 000 ",0.24,0.07,2.79,2.522,0.902,0.098,0.45,34,,DOC sink,
Kuohijarvi,61° 17ʹ N,24° 57ʹ E,Finland,Lake,Oligotrophic," 59 200 "," 3 500 "," 350 000 000 ",0.23,2.55,1.95,1.153,0.591,0.409,3.36,34,,DOC sink,
Skervatjern,61° 26ʹ N,06° 02ʹ E,Norway,Lake,Oligotrophic," 8 "," 1.5 "," 58 000 ",2.01,0.38,12.99,7.091,0.546,0.454,0.43,"S3, S4",C,DOC sink,
Sandvatn,58° 13ʹ N,06° 59ʹ E,Norway,Lake,Oligotrophic," 6 790 "," 29.0 "," 1 305 000 ",1.84,0.32,2.75,1.789,0.650,0.350,0.52,"S5, S6",,DOC sink,
Ørsdalsvatnet,58° 36ʹ N,06° 10ʹ E,Norway,Lake,Oligotrophic," 24 500 "," 1 240 "," 1 711 200 000 ",2.80,2.49,4.65,2.660,0.572,0.428,3.09,S6,,DOC sink,
Røynelandsvatn,58° 22ʹ N,08° 20ʹ E,Norway,Lake,Oligotrophic," 130 "," 3.5 "," 123 000 ",0.95,0.10,6.37,5.491,0.861,0.139,0.46,"S7, S6",,DOC sink,
Gårdsjön,58° 03ʹ N,12° 00ʹ E,Sweden,Lake,Oligotrophic," 211 "," 49.0 "," 2 246 000 ",0.64,1.66,5.22,1.423,0.273,0.727,0.89,38,,DOC sink,
Stora Hästevatten N,58° 03ʹ N,12° 02ʹ E,Sweden,Lake,Oligotrophic," 18 "," 3.4 "," 104 000 ",0.64,0.92,4.49,1.513,0.337,0.663,0.59,38,,DOC sink,
Stora Hästevatten S,58° 03ʹ N,12° 01ʹ E,Sweden,Lake,Oligotrophic," 40 "," 8.5 "," 311 000 ",0.64,1.22,4.56,2.480,0.544,0.456,1.39,38,,DOC sink,
Gaffeln,58° 03ʹ N,12° 02ʹ E,Sweden,Lake,Oligotrophic," 48 "," 5.1 "," 350 000 ",0.64,1.72,6.36,3.599,0.566,0.434,2.10,38,,DOC sink,
Lilla Hästevatten,58° 03ʹ N,12° 01ʹ E,Sweden,Lake,Oligotrophic," 106 "," 17.8 "," 746 000 ",0.64,1.10,5.60,2.631,0.470,0.530,1.01,38,,DOC sink,
Gäddtjärn,59° 86ʹ N,15° 18ʹ E,Sweden,Lake,Oligotrophic," 226 "," 6.8 "," 231 200 ",0.76,0.13,15.00,11.720,0.781,0.219,0.38,S8,,DOC sink,
Kinder,53° 23ʹ N,01° 55ʹ W,UK,Reservoir,Oligotrophic," 872 "," 18.0 "," 2 343 000 ",0.95,0.28,6.89,5.350,0.776,0.224,0.78,S9,,DOC sink,
Black Esk,55° 15ʹ N,03° 15ʹ W,UK,Reservoir,Oligotrophic," 1 813 "," 33.5 "," 3 147 000 ",1.49,0.12,9.25,7.303,0.789,0.211,0.34,S10,D,DOC sink,
Conwy,52° 59ʹ N,03° 49ʹ W,UK,Lake,Oligotrophic," 96 "," 40.1 "," 3 074 000 ",2.10,1.53,14.56,7.434,0.511,0.489,1.57,"S11, S12",,DOC sink,
Cone Pond,43° 54ʹ N,71° 36ʹ W,USA,Lake,Oligotrophic," 53 "," 3.1 "," 120 000 ",0.87,0.25,4.08,1.848,0.453,0.547,0.22,S13,,DOC sink,
Savalbeg,58° 04ʹ N,04° 22ʹ W,UK,Lake*,Oligotrophic," 319 "," 50.9 "," 797 877 ",0.64,0.39,10.93,5.535,0.506,0.494,0.34,S10,,DOC sink,
Superior,46° 27ʹ N,84° 32ʹ W,USA/Canada,Lake,Oligotrophic," 20 800 000 "," 8 200 000 "," 12 500 000 000 000 ",0.24,170.00,2.79,0.433,0.155,0.845,63.24,S14,,DOC sink,
Paijanne,61° 12ʹ N,25° 43ʹ E,Finland,Lake,Oligotrophic," 2 645 900 "," 108 300 "," 18 100 000 000 ",0.26,2.50,2.30,1.788,0.778,0.222,6.89,S15,,DOC sink,
Malawi,14° 24ʹ S,35° 14ʹ E,Malawi,Lake,Oligotrophic," 6 500 000 "," 2 880 000 "," 8 300 000 000 000 ",0.13,692.00,1.06,0.102,0.096,0.904,204.94,S16,,DOC sink,
